File Name	group	condition	replicate	BatchMS	vs
QEHFX_JB_000494	IFN1000	4h	4	1	2h
QEHFX_JB_000495	IFN1000	4h	5	1	2h
QEHFX_JB_000496	IFN1000	2h	1	1	2h
QEHFX_JB_000497	IFN1000	2h	2	1	2h
QEHFX_JB_000498	IFN1000	2h	3	1	2h
QEHFX_JB_000499	IFN1000	2h	4	1	2h
QEHFX_JB_000500	IFN1000	2h	5	1	2h
QEHFX_JB_000501	IFN1000	1h	1	1	0h
QEHFX_JB_000502	IFN1000	1h	2	1	0h
QEHFX_JB_000503	IFN1000	1h	3	1	0h
QEHFX_JB_000504	IFN1000	1h	4	1	0h
QEHFX_JB_000505	IFN1000	1h	5	1	0h
QEHFX_JB_000506	IFN1000	7h	1	1	12h
QEHFX_JB_000507	IFN1000	7h	2	1	12h
QEHFX_JB_000508	IFN1000	7h	3	1	12h
QEHFX_JB_000509	IFN1000	7h	4	1	12h
QEHFX_JB_000510	IFN1000	7h	5	1	12h
QEHFX_JB_000511	IFN1000	30min	1	1	0h
QEHFX_JB_000512	IFN1000	30min	2	1	0h
QEHFX_JB_000513	IFN1000	30min	3	1	0h
QEHFX_JB_000514	IFN1000	30min	4	1	0h
QEHFX_JB_000515	IFN1000	30min	5	1	0h
